id,text
0,RT @XHNews: Chinese soldiers have worked overnight to deliver supplies for creating makeshift hospitals in Wuhan. #coronavirus https://t.co…
1,"RT @EyesOnQ: Coronavirus Exposed, Part 1: Communist Coverup, or Pandemic Bioweapon of Mass Destruction? @realAdrianBond https://t.co/2lhksg…"
2,"RT @mtdtl: In depth Caixin report on Wuhan virus and how the initial cover up was a decisive moment. Hubei radiologist: ""Doctors and diseas…"
3,RT @business: China is sacrificing a province to save the world from coronavirus https://t.co/WDji0BugiT
4,"RT @TheMedicaIVideo: Father can’t touch his little baby as he is infected with the Corona virus... 
The baby’s face tho.. 😢 https://t.co/dN…"
5,"RT @IndoPac_Info: On Saturday evening Feb. ), Tencent, on its webpage titled ""Epidemic Situation Tracker"", showed confirmed cases of novel…"
6,"RT @CNN: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
7,RT @NHKWORLD_News: Japan researchers report on 3 coronavirus patients https://t.co/5jkbcu9Glt
8,"Coronavirus: 28,299 Infected; 565 Dead https://t.co/ElNzyKi6JR"
9,"RT @CNN: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
10,"reminder coronavirus has killed 25,000 people"
11,"What is coronavirus? The biggest questions about the outbreak, answered. SURVIVE SEE DETAILS AT ==&gt;… https://t.co/f7QZHqCKFq"
12,"RT @relovedreams: So are we going full Trump and employing the family?
Why the f*ck is Stanley Johnson on government business? https://t.co…"
13,how cray are you? my goodness
14,RT @DrEricDing: Can’t imagine how grueling and arduous it must be to work on the frontlines of the 🦠 epidemic treating patients around the…
15,"RT @indiatvnews: #Coronavirus outbreak: Real Coronavirus death figures leaked? Tencent lists over 24,000 deaths, 1.54 lakh infected in #Chi…"
16,"RT @fthilbay: the duplicity of the duterte admin in one page: reckless about the dangers of coronavirus on filipinos, yet cautious when per…"
17,"RT @hihenrylee: Pohang Univ. of Science and Tech. had to delay or cancel its graduation ceremony due to #coronavirus.

Instead, #POSTECH is…"
18,"RT @cnnbrk: The death toll from the coronavirus has soared past 560. Over 28,000 have been infected -- the vast majority in China. 

Latest…"
19,"Praying for all of our friends, clients and channel partners that are being affected by the Coronavirus. #PrayForWuhan"
20,"Watch our special briefing on the #coronavirus, its effects on travel from China, responses from international tour… https://t.co/DYU77QZee2"
21,"RT @CNN: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
22,Duque says no report has been submitted to the DFA on the Chinese national who flew from Manila to LA who supposedl… https://t.co/9ro1Df6qQ3
23,RT @sechesin: When you squander the critical first weeks of an outbreak arresting journalists and civilians instead of coordinating with th…
24,Bill Gates owns the company who patented the Corona Virus. Make your own conclusions.
25,"BREAKING NEWS
Russia is not yet ready to announce its position on the OPEC+ actions in relation to the new coronavi… https://t.co/ivnsSYt2HL"
26,RT @anthraxxxx: Land border from China to Vietnam. I think this video was taken few days before the Vietnamese government ordered the land…
27,RT @trapwire: Clear sign #coronavirus is having significant impact on #Chinese economy. #trade #tariffs #economics   https://t.co/IM9LayTO98
28,RT @BaldingsWorld: The CCP is the biggest purveyor of disinformation about the coronavirus there is.
29,RT @crd37: This is the difference between managing complicated things - hard but predictable (like building a quarantine facility) -and com…
30,"RT @DeanHareethhh: Prophet Muhammad S.A.W would be proud 🤲 Peace be upon him.

Well done Turkey 🇹🇷"
31,"RT @thuogithuku: Kenya airways cancelled flights to prevent Coronavirus from coming to our country. However, the country still allow Chines…"
32,RT @Tsinghua_Uni: Tsinghua nurses &amp; doctors have been working hard to fight the epidemic. The Tsinghua University Yuquan Hospital is one of…
33,Doing a myth busting session for rolling tutorial today. Most of 11 CHC’s questions centred around Brexit and Coron… https://t.co/gid0CB14VC
34,"RT @WDdome: Our thoughts are with you, Wuhan and Chinese Friends! 
Keep on fighting with Coronavirus! #ไวรัสโคโรน่าสายพันธุ์ใหม่2019 #Coron…"
35,"RT @jenniferatntd: FANGCANG HOSPITAL:
We don't accept patients with severe situations!
TWe don't accept those who can't walk, or can't take…"
36,📢 Please note that we have updated our website information on the #coronavirus situation and the sentiment in our c… https://t.co/fRKtWmtm8w
37,RT @Cheesemeister3k: Nintendo has posted an advisory and apology about the effect of the coronavirus outbreak on Nintendo Switch production…
38,RT @Reuters: China troubled at UK PM Johnson's silence over coronavirus: BBC https://t.co/AjupP5f1ER https://t.co/sO7dRd7Bgj
39,"RT @midwaydude: Try not to say ""sacrificing a province to save the world""

Try saying ""sacrificing a province after a series of cover-ups a…"
40,"RT @HausofHilton: Please stay calm regarding the KLCC issue.

Coronavirus spread via droplets  , not aerosol (like tuberculosis , chicken p…"
41,"RT @sceneryfortae: .@KIMTAEHYUNGBAR_ is the only C fansite for a korean idol that has been mentioned in GQ China report for donating 50,000…"
42,"RT @MailOnline: China's second-biggest company momentarily list coronavirus death toll at 24,589 https://t.co/JWvheVW86b"
43,"RT @Jimcorrsays: What a coincidence! - Bill Gates ""predicted"" a super-virus pandemic breaking out in China that could kill 33 million peopl…"
44,RT @StephenMcDonell: Pretty worrying analysis here from Professor Neil Ferguson. In #China maybe only 10% of #coronavirus infections being…
45,RT @XHNews: Chinese soldiers have worked overnight to deliver supplies for creating makeshift hospitals in Wuhan. #coronavirus https://t.co…
46,"RT @sceneryfortae: .@KIMTAEHYUNGBAR_ is the only C fansite for a korean idol that has been mentioned in GQ China report for donating 50,000…"
47,"RT @NBCNews: LATEST: Coronavirus global death toll rises to at least 565 as confirmed cases reach more than 28,000 in mainland China. https…"
48,"RT @viki_gerova: ""The coronavirus is a very good example of the sort of opportunistic moments organised racists look for in order to trigge…"
49,"RT @jenniferatntd: FANGCANG HOSPITAL:
We don't accept patients with severe situations!
TWe don't accept those who can't walk, or can't take…"
50,RT @StephenMcDonell: Pretty worrying analysis here from Professor Neil Ferguson. In #China maybe only 10% of #coronavirus infections being…
51,"RT @PDChina: Amid the novel #coronavirus outbreak from January in E China’s Anhui province, the power grid of Chuzhou has sent intelligent…"
52,I think the Royal family really need to consider their position...it seams to be taken over by the Johnsons/
53,Interesting Guardian article from 2013. #coronavirus https://t.co/bA3d880VvS
54,"“Forget face masks and rubber gloves. The best way to avoid the #coronavirus is frequent hand washing,..
The virus… https://t.co/PDIZcSHpfd"
55,"RT @smh: The mother of Xiao Li, 22,  who is on life support in hospital has been blocked from entering Australia due to coronavirus | @mich…"
56,RT @CNNBusiness: The Bill and Melinda Gates Foundation is dramatically increasing the amount it's spending to combat the coronavirus outbre…
57,RT @XHNews: LIVE: The 2nd SARS treatment-model hospital is to be put into use in Wuhan. The Leishenshan Hospital is expected to accommodate…
58,"RT @staronline: MATTA Fair postponed to May following coronavirus outbreak
https://t.co/QiaX9fbATN  https://t.co/QiaX9fbATN"
