ID,text
0,RT @DrTedros: Best wishes to everyone celebrating Chinese New Year this weekend. My thoughts are with you &amp; especially with those who are w…
1,RT @Unkle_K: This is how the coronavirus started
2,"RT @DarrenPlymouth: #coronavirus in action.

https://t.co/af7w2Z4Uu7"
3,"Good morning folks! Enjoying a tasty grilled kipper with lemon butter for #breakfast today! 
.
Click link to watch… https://t.co/jLEbYYqkES"
4,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
5,"RT @MelaynaLokosky: Richard Gonzales, CEO of AbbVie, is about as trustworthy as China. The man lied to the SEC twice about having two diffe…"
6,RT @eastbIoc: westerners are like “wow the chinese govt is doing a bad job with coronavirus” while their kids are coming back from school w…
7,"RT @menumpahkan: How to wear a mask
#coronavirus https://t.co/O71CjIZiWx"
8,RT @BernieSanders: Abortion is health care.
9,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
10,RT @Ichibanx3: This video about the Wuhan Coronavirus should be trending. This local guy is risking his life to tell us what he is going th…
11,"RT @santeira: H5N1: doesn't spread easily between people.
SARS: can only be spread by a certain group of 'super spreaders'.
Wuhan Coronavir…"
12,RT @Unkle_K: This is how the coronavirus started
13,"RT @MD_Hafidz: Do you know, if the person take panadol/paracetamol earlier in flight, the temperature of the person will reduce to normal l…"
14,RT @eastbIoc: westerners are like “wow the chinese govt is doing a bad job with coronavirus” while their kids are coming back from school w…
15,RT @ChinaDaily: #China has started to develop a #vaccine for the #coronavirus after successfully isolating the first strain of the virus.…
16,"RT @menumpahkan: How to wear a mask
#coronavirus https://t.co/O71CjIZiWx"
17,"RT @ArifJemali: Coronavirus might comes from snake (Source :WHO)

This virus shows that how Islam literally take care what do we eat. What…"
18,"RT @tashortyy: This new coronavirus outbreak has come to a similar circumstances of a Korean movie, The Flu (2013). You can watch the movie…"
19,"RT @yonyonsan_j: 【情報解禁🔥】『SYNCHRONICITY2020 MIDNIGHT meets Spincoaster』

4月4日(土) 23:00
at duo MUSIC EXCHANGE、clubasia

出演：
SUKISHA &amp; kiki vi…"
20,RT @leeminhq: their faces are all covered up bc of the coronavirus pandemic precautions hhhhh stay healthy &amp; safe travels babies https://t.…
21,RT @954Cobi: Ngl if the whole city being quarantined i think this shit bigger than what they telling us😭
