ID,text
0,"RT @SubjectKpop: All the news sites are reporting on the issue now

Hopefully the upcoming news is about JYPE filing another lawsuit on him…"
1,"RT @CaitMBHeughan: @SamHeughan Please vote for OUTLANDER at

https://t.co/btn4fZoDIY

until the poll is closed.

Thanks!!!

#OUTLANDER @Out…"
2,"RT @Reggaeh: More good news for @ScottMorrisonMP and @AngusTaylorMP 

@GrogsGamut 
@michellegrattan 
@MichaelWestBiz 
@davrosz 
@joshgnosis…"
3,RT @SCMPNews: BREAKING: Sixth patient in Hong Kong confirmed as infected with China coronavirus https://t.co/fW6VR6anAx
4,RT @GoalcomNigeria: Former Nigeria striker Agali visits @MeesPalace_FA training CC: @ekonduspecial @Calitoi1 https://t.co/Jyb0epL3GA
5,great news- now we are missing a panelist so we have instead a Duo
6,"RT @kroneage: Clint Eastwood
""I love when people call Trump Stupid..
You mean the multi-billionaire who kicked every Democrats butt, buried…"
7,RT @GregOhariu: This is how Nationals dirty tricks advisors work; make an outrageous accusation with no basis in truth at a slow news time…
8,Jeff Consoletti honored with inaugural Pat Rocco Award https://t.co/fFH1XYRnB7 #lgbt
9,"RT @UN_News_Centre: On Saturday, @WHO_Europe issued a statement on the need for countries and the international community to prepare togeth…"
10,RT @Bb13Hasan: According to the news @realhimanshi will Enter in the house..im happy but my question is Asim ki family to @realumarriaz Bha…
11,"RT @Aporna15: Look at this news guys.
Got it from Instagram
#OurPrideSid 
@OfficialSidFC @TeamSidharthFC @Siddians @ChetanaBB_fan https://t…"
12,"Agweek Podcast takes on Irish Travellers, hemp rules and open cows, with special guest NDSU’s Andy Swenson https://t.co/0HvQK9wAvq"
13,"RT @MrOzAtheist: School girl in France receives messages of hate, rape threats, and death threats, from Muslims, for saying Islam is a reli…"
14,RT @SCMPNews: Doctors warn China coronavirus carriers may show no symptoms of illness https://t.co/gNdj3b5l3t
15,"RT @two_oh_teen: while we’re here, subtle reminder not to incite unnecessary panic. read updates from WHO. update yourself with the latest…"
16,RT @Hnarbh: What the actual fuck is wrong with this world bro https://t.co/HRIE1WtP4u
17,"RT @RoscoeBDavis1: This is very curious! Why the big sell off, feet getting a little warm? This will be worth watching possibly, if CRWD ta…"
18,"This is true, and important."
19,"RT @vanessa_vash: I am a climate activist from Uganda 

I am so proud to be an African

I am not going to be silenced

I am going to speak…"
20,RT @SethAbramson: BREAKING NEWS (at CBS NEWS): Trump Camp Threatened Jurors at His Impeachment Trial That Any One of Them Who Voted Against…
21,"RT @majidahhashim: FYI, 7 districts in Kelantan (Tumpat, Gua Musang, Jeli, Kuala Krai, Tanah Merah, Pasir Mas and Pasir Putih) has been ide…"
22,"RT @Koreaboo: TWICE’s Chaeyoung Warns Nayeon’s Stalker After He Leaks Her Phone Number

https://t.co/ZZS448eQ12"
23,"Watters' World 1/25/20 FULL | Breaking Fox News January 25, 2020 https://t.co/482PmpeYCv via @YouTube"
24,RT @TiceRichard: Leadership from Bolton: yet Embarrassing that Boris’ team totally failed to provide ambitious bold vision for our departur…
25,"RT @HawleyMO: I have drafted motions to subpoena Adam Schiff, the “whistleblower,” Hunter Biden, and Joe Biden to testify. If the Senate ca…"
26,RT @Texasexpatriate: When they go back they should take the idiots of the exchange program that allowed them in despite the news.
27,"RT @HawleyMO: I have drafted motions to subpoena Adam Schiff, the “whistleblower,” Hunter Biden, and Joe Biden to testify. If the Senate ca…"
28,"RT @desertfox61I: Full details of Inhuman trade  here 

Saudis allegedly buy 'Halal organs' from Uyghur Detainees 

 https://t.co/70bldQoL9s"
29,"@Rosie Did you hear about this?? 🤬

Tennessee governor signs a bill to allow religious-based adoption agencies to d… https://t.co/g7VJkar29f"
30,RT @Abramjee: R5m in counterfeit goods seized in Durban Central via @News24 https://t.co/AF7yrYv38A ⁦@TaxJustice_SA⁩
31,"PHOTOS: Grieving families receive remains of drowned migrants at Sulaimani airport
https://t.co/Y7ubYSnn0d"
32,"RT @iqlikmovies: Kangana Fans Happy As She Wins Padma Shri Award
#KanganaRanaut #PadmaSriKangana #Pangaa
https://t.co/2VwfI01xfI"
33,"RT @CanadaInPeril: Why is @CBC, @CTV @BBCBreaking , @CNN , @MSNBC  and all news stations Not covering this protest on France that has been…"
34,RT @RaymondSuttner: ANC proposes shocking land expropriation amendment https://t.co/Kev7Db2fIp via @TimesLIVE
35,"@DirkSchwenk We got played:
https://t.co/VtwzlESi8r"
36,"RT @BiggBos_Tak: Breaking New!

It's a very good news specially for Shehnaaz Fans.

After the WKW went on air yesterday, Shehnaaz Gill fan…"
37,"RT @DrShobha: The unsung heroes who bagged #PadmaAwards 

https://t.co/N5PnueoKJ9 via NaMo App https://t.co/Wg9Zv6H3mh"
38,"RT @Hyvast: “I was, therefore, very surprised that the UK Government announced a summit in Glasgow without any consultation with the Scotti…"
39,"RT @dhruv_rathee: Few facts about Bolsonaro 

Chief guest of #RepublicDay2020 

👉He’s responsible for destroying Amazon rainforest
👉Openly…"
40,"RT @Qanon76: ‘Satanic sheep killings’ horror: Arrest after sheep slaughtered and daubed with pentagrams 
https://t.co/88XKuXpSPy"
41,RT @biharigurl: Way of reporting by NDTV 😠😠😡
42,RT @AnonxTruther: @T3Baron Virus-hit Wuhan has two laboratories linked to Chinese bio-warfare program according to an Israeli biological wa…
43,"RT @kylegriffin1: Barack Obama called Donald Trump a ""fascist"" in a phone conversation with Sen. Tim Kaine during the 2016 presidential ele…"
44,@becca34725661 @Ajarncom Fuck off with your fake news. Take it elsewhere.
45,"RT @staffo_sez: 58 Australian women were murdered by men in 2019 but hey, it's great to have Bettina to advocate on our downtrodden behalf"
46,"RT @Aporna15: Look at this news guys.
Got it from Instagram
#OurPrideSid 
@OfficialSidFC @TeamSidharthFC @Siddians @ChetanaBB_fan https://t…"
47,"RT @lizmoblubuckeye: Well of course they will. They won’t even have to dig. There’s so much corruption they can find it indefinitely 

The…"
48,"RT @Trawlerphotos: Macron turns screw on Britain with outrageous demand for 25-year access to UK waters https://t.co/lWWlLrvut8 
#eatmorefi…"
49,"News Turkey:

Turkish authorities say 1,234 injured in earthquake

https://t.co/hos4w4usgn"
50,"RT @HawleyMO: I have drafted motions to subpoena Adam Schiff, the “whistleblower,” Hunter Biden, and Joe Biden to testify. If the Senate ca…"
51,"RT @KimberlyforIowa: Hey! I got yer good news &amp; yer bad news.  
Good:  We were able to purchase the voter file. yay!  
Bad:  It cost $60,00…"
52,#NeverTrustAPersonWho makes everything about them when telling them news about yourself!
53,"An Army Reserve combat engineer died Jan. 24 in Deir ez Zor Province, Syria, according to a statement from the Defe… https://t.co/zTzpz8XYGq"
54,RT @Ugaman01: How I wish people like @Oprah @BarackObama or @MichelleObama can dedicate sometime and talk to Ugandan Climate activist @vane…
55,Man uses his coffee to free kittens frozen in the snow #Retweet Kittens #KittensRescue #CatsRescue  https://t.co/qWAoniU3Ek
56,Celtic morning news round-up – 26th January 2020 #Celtic | https://t.co/GsB0kTIAri https://t.co/sxaa8eEQPU
57,"RT @prisin188: I feel what himanshi is doing is wrong.
The thing is, if evicted BB contestant say something,it makes it to headlines on new…"
58,"RT @MistaBRONCO: STAY OFF THE TRACKS ...
MIKE 'THOMAS PAINE' MOORE IS COMING ...AND HE'S BRINGING THE TRUTH WITH HIM ! https://t.co/nVhlLGZ…"
59,"RT @AuschwitzMuseum: Elderly survivors will gather in @AuschwitzMuseum on Monday, to mark 75 years since Soviet troops liberated the camp,…"
60,RT @pinkvilla: #BiggBoss13: #PriyankaChopra’s cousin #Meera says '#AsimRiaz and #RashamiDesai are real winners'; Here's Why - https://t.co/…
61,"@RT_com this is not Wuhan, in palau, now RT have fake news ???"
62,"RT @ShefVaidya: Haha, the impact of @narendramodi Sarkar. If this govt continues for ten more years, all mosques will start playing Vande M…"
63,"RT @paulftheophilus: Next time you feel stupid or uninformed, just remember, there are people who get their news from CNN.
#MSM #MSMLies"
64,"RT @DuncanMcNab: On this day in 1966, the Beaumont children were abducted from Adelaide's Glenelg beach. They have never been found. It's a…"
65,"RT @DrAmarMOH: Where are all the men?
Did you arrest them as well?
We always seem to target women. https://t.co/ZZi0jl8JbT"
66,RT @UFWD_YVR: Here's a story about tomorrow's parade (of which CBC is a sponsor) that doesn't mention it's organised by pro-CCP ideological…
67,RT @Reuters: ICYMI: Climate activist @GretaThunberg called on the world leaders at #Davos2020 to listen to young people. Follow the latest…
68,"RT @Koreaboo: TWICE’s Chaeyoung Warns Nayeon’s Stalker After He Leaks Her Phone Number

https://t.co/ZZS448eQ12"
69,i am so angry if anyone looks at me right now i’m putting them on the news
70,RT @Iancoll94354676: Nanny’s boy attempted to justify Boer War Concentration camps by comparing the death rate in them with the death rate…
71,"RT @RealMarkLatham: Ever noticed how the more money Indigenous households earn (Buddy Franklin for kicking a footy, Mrs Franklin posing for…"
72,"RT @CitySamuel: My @telegraph column: 46 million in quarantine and China won’t tell them the truth
https://t.co/ItKW0nnzTh
#coronarovirus"
73,"RT @BiggBos_Tak: Breaking New!

It's a very good news specially for Shehnaaz Fans.

After the WKW went on air yesterday, Shehnaaz Gill fan…"
74,Bloody Heck - #Tories trying to cover up why they appointed people who made the cladding to cover up CORPORATE MURD… https://t.co/GOF726P722
75,RT @Jkylebass: A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending p…
76,"RT @MsbZana: I need you guys to at least read this to at least know what Wuhan virus is please. It’s 80% genetically identical as SARS, not…"
77,"RT @WeaselArmy: Oh @TheBabylonBee
The depth and richness of your humor is boundless..

Unrivaled I say...
 https://t.co/a6mme5DbdB"
78,RT @ExtinctionR: Yesterday it got confirmed that Russian activist Konstantin Fokin was sentenced to 10 days in jail for organising a solo #…
